,deflator inflation - forecast,deflator inflation - actual,nominal interest
1970-04-01,2.9851,5.067634772229956,7.453333333333333
1970-07-01,3.7037,5.27302323287131,6.936666666666667
1970-10-01,3.5414,4.766077600895757,5.646666666666666
1971-01-01,3.5303,4.771495708051576,4.05
1971-04-01,3.4164,4.056420693898821,4.993333333333333
1971-07-01,3.1359,3.9921281979195866,5.75
1971-10-01,3.4194,4.447026022304845,4.726666666666667
1972-01-01,3.5392,4.064445258147198,4.406666666666666
1972-04-01,3.3858,5.012736535662277,4.843333333333333
1972-07-01,3.6128,6.0421735604217375,5.153333333333333
1972-10-01,3.6999,6.793611247052556,5.4366666666666665
1973-01-01,3.7609,7.569493314567199,6.31
1973-04-01,3.7723,8.44234601056919,7.016666666666666
1973-07-01,4.0999,9.492245591671967,8.506666666666668
1973-10-01,5.3651,10.510748208631892,7.413333333333334
1974-01-01,5.6522,10.929386269779595,7.353333333333333
1974-04-01,5.6126,9.978030756940282,8.69
1974-07-01,6.647,8.731421475416191,9.01
1974-10-01,7.6814,7.39246805141931,7.673333333333333
1975-01-01,7.2412,6.115001842978263,6.3066666666666675
1975-04-01,5.5917,5.615080085715318,6.526666666666666
1975-07-01,5.9454,5.125093686427062,7.5200000000000005
1975-10-01,6.2087,5.247823645043526,6.68
1976-01-01,6.1832,5.821667998193747,5.976666666666667
1976-04-01,5.9002,6.245056570033358,6.28
1976-07-01,6.055,6.165336954676626,6.013333333333333
1976-10-01,5.729,6.5503785478437715,5.226666666666667
1977-01-01,5.644,6.3876579681601875,5.419999999999999
1977-04-01,6.2678,6.9137400873927835,5.6933333333333325
1977-07-01,5.8989,7.422212273352291,6.28
1977-10-01,5.9557,7.299589945847829,6.96
1978-01-01,5.9044,7.691833019653838,7.31
1978-04-01,6.5327,8.258908298265277,7.786666666666666
1978-07-01,6.9055,8.778875922838768,8.446666666666667
1978-10-01,7.0927,8.576679599754943,9.816666666666668
1979-01-01,7.3262,8.872908549163405,10.299999999999999
1979-04-01,7.9278,8.797785172963458,9.936666666666666
1979-07-01,8.0251,8.847595851235601,10.153333333333334
1979-10-01,8.1871,9.648297912356597,12.270000000000001
1980-01-01,8.6957,10.220783663587806,13.933333333333332
1980-04-01,8.8416,9.793085721629623,10.283333333333333
1980-07-01,8.934,9.415698697641673,10.136666666666667
1980-10-01,9.3725,8.480764518500372,13.840000000000002
1981-01-01,9.0619,7.150531216425948,14.12
1981-04-01,8.6787,6.433337235163283,15.126666666666665
1981-07-01,7.8029,5.949125669247901,16.319999999999997
1981-10-01,7.5188,5.229156784350919,13.546666666666667
1982-01-01,7.0197,4.585561497326207,14.333333333333334
1982-04-01,6.2378,4.0098541671249155,13.796666666666667
1982-07-01,5.8739,3.6457881495619127,11.839999999999998
1982-10-01,5.5898,3.3593783540119437,9.13
1983-01-01,5.0012,3.623929438834206,8.86
1983-04-01,4.8237,3.741065008670641,9.18
1983-07-01,4.9494,3.5614890455962556,10.296666666666667
1983-10-01,5.5327,3.5513281136424935,9.953333333333333
1984-01-01,4.9774,3.525977096568589,10.176666666666668
1984-04-01,5.3812,3.30853124044439,11.546666666666667
1984-07-01,4.746,3.0167101089086934,11.81
1984-10-01,4.4131,2.8238503038446883,10.016666666666667
1985-01-01,3.993,2.3235492711601857,9.389999999999999
1985-04-01,4.329,2.0541457831800836,8.466666666666667
1985-07-01,4.2132,1.8574454730895917,7.993333333333333
1985-10-01,3.9744,1.8432190992607733,7.853333333333333
1986-01-01,3.3333,1.987423336697458,7.456666666666667
1986-04-01,3.1524,2.3066957984493097,6.6066666666666665
1986-07-01,2.6155,2.661223546629188,5.989999999999999
1986-10-01,3.1115,2.918757421381235,5.796666666666667
1987-01-01,3.7037,3.0657684402831675,5.923333333333333
1987-04-01,3.9182,3.352736619292407,6.766666666666667
1987-07-01,4.142,3.8020745409187207,7.126666666666666
1987-10-01,3.6195,3.870631582865003,7.239999999999999
1988-01-01,3.761,4.137816429402319,6.78
1988-04-01,3.9435,4.2332589693888645,7.3
1988-07-01,4.1838,3.7531622696060696,8.003333333333332
1988-10-01,4.3689,3.597405854742197,8.526666666666666
1989-01-01,4.5564,3.6347517730496604,9.290000000000001
1989-04-01,4.5777,3.6911633129243393,8.926666666666668
1989-07-01,4.3205,3.821167946775339,8.096666666666666
1989-10-01,3.9844,3.8546674506277467,7.826666666666667
1990-01-01,4.0217,3.751924721984601,8.126666666666667
1990-04-01,3.8168,3.355046104390502,8.273333333333333
1990-07-01,4.384,3.279596047709332,7.826666666666667
1990-10-01,4.2649,3.123803180417939,7.303333333333334
1991-01-01,3.4944,2.5031743152548636,6.4366666666666665
1991-04-01,3.3824,2.3687139863802997,6.243333333333333
1991-07-01,3.3528,2.0709482506578336,5.886666666666667
1991-10-01,3.193,2.1669277098706807,4.866666666666666
1992-01-01,3.2498,2.36000064349029,4.3566666666666665
1992-04-01,3.1074,2.353881826177351,4.22
1992-07-01,2.7909,2.460177272799613,3.4166666666666665
1992-10-01,2.7066,2.315363583202945,3.563333333333333
1993-01-01,2.7802,2.231721883447535,3.4066666666666667
