round,year,inflation_lag,unemployment_lag,fed_funds_lag,inflation,hist_inflation_0,hist_unemp_0,hist_fed_funds_0,hist_inflation_1,hist_unemp_1,hist_fed_funds_1,hist_inflation_2,hist_unemp_2,hist_fed_funds_2,hist_inflation_3,hist_unemp_3,hist_fed_funds_3,hist_inflation_4,hist_unemp_4,hist_fed_funds_4
1,1970,4.504953,3.491667,8.204167,4.676164,4.504953,3.491667,8.204167,4.274104,3.558333,5.658333,3.073195,3.841667,4.6175,3.192421,3.791667,5.115833,1.974941,4.516667,4.07
2,1971,4.676164,4.983333,7.183333,4.244663,4.676164,4.983333,7.183333,4.504953,3.491667,8.204167,4.274104,3.558333,5.658333,3.073195,3.841667,4.6175,3.192421,3.791667,5.115833
3,1972,4.244663,5.95,4.6625,3.411793,4.244663,5.95,4.6625,4.676164,4.983333,7.183333,4.504953,3.491667,8.204167,4.274104,3.558333,5.658333,3.073195,3.841667,4.6175
4,1973,3.411793,5.6,4.434167,5.382955,3.411793,5.6,4.434167,4.244663,5.95,4.6625,4.676164,4.983333,7.183333,4.504953,3.491667,8.204167,4.274104,3.558333,5.658333
5,1974,5.382955,4.858333,8.7275,10.411935,5.382955,4.858333,8.7275,3.411793,5.6,4.434167,4.244663,5.95,4.6625,4.676164,4.983333,7.183333,4.504953,3.491667,8.204167
6,1975,10.411935,5.641667,10.5025,8.337031,10.411935,5.641667,10.5025,5.382955,4.858333,8.7275,3.411793,5.6,4.434167,4.244663,5.95,4.6625,4.676164,4.983333,7.183333
7,1976,8.337031,8.475,5.824167,5.483991,8.337031,8.475,5.824167,10.411935,5.641667,10.5025,5.382955,4.858333,8.7275,3.411793,5.6,4.434167,4.244663,5.95,4.6625
8,1977,5.483991,7.7,5.045,6.504782,5.483991,7.7,5.045,8.337031,8.475,5.824167,10.411935,5.641667,10.5025,5.382955,4.858333,8.7275,3.411793,5.6,4.434167
9,1978,6.504782,7.05,5.5375,6.959173,6.504782,7.05,5.5375,5.483991,7.7,5.045,8.337031,8.475,5.824167,10.411935,5.641667,10.5025,5.382955,4.858333,8.7275
10,1979,6.959173,6.066667,7.930833,8.882761,6.959173,6.066667,7.930833,6.504782,7.05,5.5375,5.483991,7.7,5.045,8.337031,8.475,5.824167,10.411935,5.641667,10.5025
11,1980,8.882761,5.85,11.194167,10.770281,8.882761,5.85,11.194167,6.959173,6.066667,7.930833,6.504782,7.05,5.5375,5.483991,7.7,5.045,8.337031,8.475,5.824167
12,1981,10.770281,7.175,13.355833,8.957563,10.770281,7.175,13.355833,8.882761,5.85,11.194167,6.959173,6.066667,7.930833,6.504782,7.05,5.5375,5.483991,7.7,5.045
13,1982,8.957563,7.616667,16.378333,5.554639,8.957563,7.616667,16.378333,10.770281,7.175,13.355833,8.882761,5.85,11.194167,6.959173,6.066667,7.930833,6.504782,7.05,5.5375
14,1983,5.554639,9.708333,12.258333,4.254986,5.554639,9.708333,12.258333,8.957563,7.616667,16.378333,10.770281,7.175,13.355833,8.882761,5.85,11.194167,6.959173,6.066667,7.930833
15,1984,4.254986,9.6,9.086667,3.777102,4.254986,9.6,9.086667,5.554639,9.708333,12.258333,8.957563,7.616667,16.378333,10.770281,7.175,13.355833,8.882761,5.85,11.194167
16,1985,3.777102,7.508333,10.225,3.48686,3.777102,7.508333,10.225,4.254986,9.6,9.086667,5.554639,9.708333,12.258333,8.957563,7.616667,16.378333,10.770281,7.175,13.355833
17,1986,3.48686,7.191667,8.100833,2.176428,3.48686,7.191667,8.100833,3.777102,7.508333,10.225,4.254986,9.6,9.086667,5.554639,9.708333,12.258333,8.957563,7.616667,16.378333
18,1987,2.176428,7.0,6.805,3.09065,2.176428,7.0,6.805,3.48686,7.191667,8.100833,3.777102,7.508333,10.225,4.254986,9.6,9.086667,5.554639,9.708333,12.258333
19,1988,3.09065,6.175,6.6575,3.907049,3.09065,6.175,6.6575,2.176428,7.0,6.805,3.48686,7.191667,8.100833,3.777102,7.508333,10.225,4.254986,9.6,9.086667
20,1989,3.907049,5.491667,7.568333,4.367083,3.907049,5.491667,7.568333,3.09065,6.175,6.6575,2.176428,7.0,6.805,3.48686,7.191667,8.100833,3.777102,7.508333,10.225
